id,season_id,team_id,division_id,wins,losses,ties,ot_losses,reg_ot_losses,reg_losses,ot_wins,shootout_wins,shootout_losses,regulation_wins,row,points,bench_minutes,penalty_minutes,goals_for,goals_against,goals_diff,power_play_goals,power_play_goals_against,shootout_goals,shootout_goals_against,shootout_attempts,shootout_attempts_against,short_handed_goals_for,short_handed_goals_against,percentage,percentage_full,shootout_games_played,games_played,shootout_pct,power_play_pct,shootout_pct_goals_for,shootout_pct_goals_against,penalty_kill_pct,pim_pg,power_plays,win_percentage,times_short_handed,shootout_record,home_record,visiting_record
5_3,5,3,1,17,7,0,1,8,6,3,3,2,11,14,48,6,215,69,60,9,14,15,7,7,25,25,2,1,0.889,0.8889,5,27,0.6,16.1,0.28,0.28,81.7,8,87,0.63,82,3-2,10-4-0-0,7-3-1-2
5_6,5,6,1,14,8,0,3,11,5,2,0,2,12,14,45,6,201,70,67,3,24,16,2,4,10,10,1,0,0.833,0.8333,2,27,0,28.6,0.2,0.4,81.4,7.4,84,0.519,86,0-2,8-3-2-0,6-5-1-2
5_1,5,1,1,14,9,0,4,13,5,2,4,0,8,10,40,2,204,69,65,4,13,13,9,3,19,19,2,2,0.741,0.7407,4,27,1,16.9,0.474,0.158,84.5,7.6,77,0.519,84,4-0,8-4-1-0,6-5-3-0
5_5,5,5,1,12,11,0,3,14,8,1,0,1,11,12,39,4,227,66,74,-8,11,21,0,1,5,5,3,2,0.722,0.7222,1,27,0,16.2,0,0.2,78.1,8.4,68,0.444,96,0-1,5-5-3-0,7-6-0-1
5_2,5,2,1,13,10,0,2,12,8,3,2,2,8,11,38,0,147,74,73,1,12,15,7,7,21,22,0,2,0.704,0.7037,4,27,0.5,16.2,0.333,0.318,77.3,5.4,74,0.481,66,2-2,8-5-1-0,5-5-1-2
5_4,5,4,1,11,12,0,1,13,11,3,1,3,7,10,33,6,179,66,75,-9,18,12,5,8,21,20,1,2,0.611,0.6111,4,27,0.25,18.2,0.238,0.4,84,6.6,99,0.407,75,1-3,5-7-0-2,6-5-1-1
4_2,4,2,1,2,0,0,0,0,0,1,0,0,1,2,5,0,6,7,4,3,2,0,0,0,0,0,0,0,1.25,1.25,0,2,0,28.6,0,0,100,3,7,1,3,0-0,1-0-0-0,1-0-0-0
4_4,4,4,1,1,0,0,1,1,-1,0,0,0,1,1,4,0,18,8,6,2,1,3,0,0,0,0,1,0,1,1,0,2,0,14.3,0,0,66.7,9,7,0.5,9,0-0,0-0-1-0,1-0-0-0
4_1,4,1,1,1,1,0,0,1,1,0,0,0,1,1,3,0,10,4,7,-3,0,0,0,0,0,0,0,0,0.75,0.75,0,2,0,0,0,0,100,5,10,0.5,4,0-0,1-0-0-0,0-1-0-0
4_3,4,3,1,1,1,0,0,1,1,0,0,0,1,1,3,0,10,7,6,1,1,0,0,0,0,0,0,0,0.75,0.75,0,2,0,20,0,0,100,5,5,0.5,5,0-0,1-0-0-0,0-1-0-0
4_5,4,5,1,1,1,0,0,1,1,0,0,0,1,1,3,0,18,9,7,2,0,1,0,0,0,0,0,0,0.75,0.75,0,2,0,0,0,0,87.5,9,2,0.5,8,0-0,1-0-0-0,0-1-0-0
4_6,4,6,1,0,2,0,0,2,2,0,0,0,0,0,0,0,16,3,8,-5,1,1,0,0,0,0,0,1,0,0,0,2,0,16.7,0,0,87.5,8,6,0,8,0-0,0-1-0-0,0-1-0-0
3_2,3,2,1,6,4,0,0,4,4,1,0,0,5,6,18,0,42,20,13,7,2,0,0,0,0,0,1,0,0.9,0.9,0,10,0,7.7,0,0,100,4.2,26,0.6,19,0-0,3-1-0-0,3-3-0-0
3_1,3,1,1,5,3,0,0,3,3,4,0,0,1,5,15,2,47,13,17,-4,0,3,0,0,0,0,1,1,0.938,0.9375,0,8,0,0,0,0,87,5.9,15,0.625,23,0-0,2-2-0-0,3-1-0-0
3_6,3,6,1,2,3,0,0,3,3,0,0,0,2,2,6,0,30,7,7,0,0,2,0,0,0,0,0,0,0.6,0.6,0,5,0,0,0,0,86.7,6,10,0.4,15,0-0,2-1-0-0,0-2-0-0
3_4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0-0,0-0-0-0,0-0-0-0
3_5,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0-0,0-0-0-0,0-0-0-0
3_3,3,3,1,0,3,0,0,3,3,0,0,0,0,0,0,0,8,4,7,-3,3,0,0,0,0,0,0,1,0,0,0,3,0,25,0,0,100,2.7,12,0,6,0-0,0-2-0-0,0-1-0-0
2_2,2,2,1,3,0,0,0,0,0,1,1,0,1,2,7,0,20,17,11,6,1,2,2,2,10,10,0,0,1.167,1.1667,1,3,1,11.1,0.2,0.2,60,6.7,9,1,5,1-0,2-0-0-0,1-0-0-0
2_4,2,4,1,3,0,0,0,0,0,1,2,0,0,1,6,0,16,12,5,7,1,1,6,5,18,18,0,0,1,1,2,3,1,7.1,0.333,0.278,87.5,5.3,14,1,8,2-0,1-0-0-0,2-0-0-0
2_6,2,6,1,1,0,0,2,2,-2,1,0,0,0,1,4,0,30,13,13,0,3,2,5,5,18,18,0,0,0.667,0.6667,0,3,0,23.1,0,0,86.7,10,13,0.333,15,0-0,0-0-2-0,1-0-0-0
2_1,2,1,1,1,0,0,2,2,-2,1,0,0,0,1,4,2,34,6,9,-3,2,2,7,5,15,15,0,0,0.667,0.6667,0,3,0,16.7,0,0,88.2,11.3,12,0.333,17,0-0,1-0-1-0,0-0-1-0
2_3,2,3,1,1,1,0,0,1,1,1,0,1,0,1,3,0,18,6,9,-3,2,1,4,5,10,10,0,0,0.5,0.5,1,3,0,25,0.4,0.5,87.5,6,8,0.333,8,0-1,1-0-0-0,0-1-0-1
2_5,2,5,1,0,0,0,1,1,-1,0,0,2,0,0,3,0,26,6,13,-7,0,1,3,5,15,15,0,0,0.5,0.5,2,3,0,0,0.2,0.333,91.7,8.7,9,0,12,0-2,0-0-0-1,0-0-1-1
1_6,1,6,1,17,7,0,0,7,7,2,2,0,13,15,47,4,169,69,50,19,11,6,4,1,11,10,3,2,0.979,0.9792,2,24,1,15.7,0.364,0.1,91.8,7,70,0.708,73,2-0,9-3-0-0,8-4-0-0
1_3,1,3,1,13,6,0,2,8,4,3,0,3,10,13,41,2,164,60,57,3,13,12,2,7,14,15,1,4,0.854,0.8542,3,24,0,15.9,0.143,0.467,84,6.8,82,0.542,75,0-3,7-2-2-1,6-4-0-2
1_1,1,1,1,12,9,0,2,11,7,3,1,1,8,11,35,6,140,50,57,-7,4,13,3,3,9,10,2,1,0.729,0.7292,2,24,0.5,7.5,0.333,0.3,80,5.8,53,0.5,65,1-1,6-4-2-0,6-5-0-1
1_2,1,2,1,12,9,0,3,12,6,2,2,0,8,10,35,2,130,54,54,0,5,20,6,2,10,8,2,0,0.729,0.7292,2,24,1,8.2,0.6,0.25,67.2,5.4,61,0.5,61,2-0,7-3-2-0,5-6-1-0
1_5,1,5,1,9,9,0,4,13,5,0,1,2,8,8,32,2,151,62,63,-1,16,9,4,6,14,14,3,3,0.667,0.6667,3,24,0.333,25,0.286,0.429,85.9,6.3,64,0.375,64,1-2,5-4-3-0,4-5-1-2
1_4,1,4,1,9,12,0,2,14,10,3,1,1,5,8,26,2,169,53,67,-14,19,8,2,2,8,9,2,3,0.542,0.5417,2,24,0.5,24.4,0.25,0.222,88.6,7,78,0.375,70,1-1,4-7-1-0,5-5-1-1